Section,Description,Punishment,Bailable/Non-Bailable
IPC_267,it addresses the act of making or selling false weights or measures which can lead to unfair trade practices and financial losses for consumers ,imprisonment for a term which may extend to one year or with fine or both ,Non-Bailable
IPC_268,a person is guilty of a public nuisance if they do anything that causes harm danger or annoyance to the public or people living nearby and such a nuisance can not be excused even if it brings some convenience or advantage ,imprisonment of either description for a term which may extend to six months or with fine or with both ,bailable
IPC_269,if anyone unlawfully or negligently does an act that can spread a dangerous disease they can be punished with imprisonment for up to six months or with a fine or both ,imprisonment of either description for a term which may extend to six months or with fine or with both ,bailable
IPC_270,pertains to any deliberate or malignant act likely to spread an infection of a disease dangerous to life it covers intentional actions that result in the spread of infectious diseases posing a threat to human life ,imprisonment of either description for a term which may extend to two years or with fine or with both ,bailable
IPC_271,knowingly disobeying any quarantine rule ,imprisonment of either description for a term which may extend to six months or with fine or with both ,bailable
IPC_272,adulteration of food or drink intended for sale ,imprisonment of either description for a term which may extend to six months or with fine which may extend to one thousand rupees or with both ,bailable
IPC_273,sale of noxious food or drink ,imprisonment of either description for a term which may extend to six months or with fine which may extend to one thousand rupees or with both ,bailable
IPC_274,involves mixing impure or harmful substances with medicines or drugs intended for medicinal purposes it aims to safeguard public health by prohibiting the sale or distribution of adulterated drugs ,imprisonment of either description for a term which may extend to six months or with fine which may extend to one thousand rupees or with both ,bailable
IPC_276,sale of a substance as a drug or medicinal preparation when it is actually different from what it is represented to be ,imprisonment of either description for a term which may extend to six months or with fine which may extend to one thousand rupees or with both ,bailable
IPC_277,the act of polluting or contaminating the water of a public spring or reservoir which is a source of water for the community ,imprisonment for up to three months or a fine of up to five hundred rupees or both ,bailable
IPC_278,actions that result in making the atmosphere harmful or injurious to health it encompasses activities that pollute the air or release substances into the atmosphere posing risks to public health and ,a fine which may extend to five hundred rupees ,bailable
IPC_279,the offense of driving or riding recklessly or negligently on a public road endangering the safety of others it aims to ensure road safety and prevent accidents caused by irresponsible driving behavior ,imprisonment of either description for a term which may extend to six months or with fine which may extend to one thousand rupees or with both ,bailable
IPC_280,navigating a vessel such as a ship or boat recklessly or negligently thereby endangering the safety of others or the property it aims to ensure maritime safety and prevent accidents caused by irresponsible navigation practices ,imprisonment for up to six months or a fine or both ,bailable
IPC_281,the act of knowingly exposing for sale or use a coin that has been fraudulently diminished altered or tampered with to reduce its value it aims to prevent fraud and maintain the integrity of currency ,imprisonment for up to seven years or a fine or both ,bailable
IPC_282,conveying for hire any person by water in a vessel in such a state or so loaded as to endanger his life ,a fine which may extend to fifty rupees ,bailable
IPC_283,addresses actions that result in creating a danger or obstruction in a public way such as roads streets or lines of navigation such as rivers or waterways it aims to ensure public safety and the smooth flow of traffic and navigation ,a fine which may extend to two hundred rupees ,bailable
IPC_284,this section deals with negligent conduct concerning poisonous substances it encompasses actions or omissions that result in the mishandling or improper storage of toxic substances thereby endangering the safety of others ,imprisonment of either description for a term which may extend to six months or with fine which may extend to one thousand rupees or with both ,bailable
IPC_285,addresses negligent behavior concerning fire or combustible materials it covers actions or omissions that result in the mishandling improper storage or careless use of fire or combustible substances leading to risks of fire accidents or property damage ,imprisonment of either description for a term which may extend to three months or with fine which may extend to two hundred and fifty rupees or with both ,bailable
IPC_286,this section addresses negligent behavior concerning explosive substances it encompasses actions or omissions that result in the mishandling improper storage or careless use of explosive materials leading to risks of explosions property damage or harm to individuals ,imprisonment of either description for a term which may extend to six months or with fine which may extend to one thousand rupees or with both ,bailable
IPC_287,addresses negligent behavior regarding machinery it encompasses actions or omissions that result in the mishandling improper operation or failure to maintain machinery leading to risks of accidents injuries or damage to property ,imprisonment of either description for a term which may extend to six months or with fine which may extend to one thousand rupees or with both ,bailable
IPC_288,this section addresses negligent behavior in activities related to pulling down or repairing buildings it covers actions or omissions that result in unsafe practices during demolition or construction work leading to risks of accidents injuries or damage to property ,imprisonment of either description for a term which may extend to six months or with fine which may extend to one thousand rupees or with both ,bailable
IPC_289,it deals with negligent conduct concerning animals it pertains to situations where a person careless or negligent actions result in harm or endangerment to an animal life or health ,imprisonment of either description for a term which may extend to three months or with fine which may extend to two hundred rupees or with both ,bailable
IPC_290,it addresses situations where a person commits a public nuisance for which specific provisions are not provided elsewhere in the code it imposes punishment for such acts of public nuisance which may disturb or inconvenience the general public ,a fine which may extend to two hundred rupees ,bailable
IPC_291,it deals with the offense of continuing to commit a public nuisance after being enjoined to discontinue such act or by an order of a public servant ,imprisonment for a term which may extend to six months or with fine which may extend to one thousand rupees or with both ,bailable
IPC_292,it deals with the offense of selling distributing or publicly exhibiting obscene books prints or representations to the public or to any person under the age of 20 years ,imprisonment may extend to three years and a fine of up to two thousand rupees seven years and a fine of up to five thousand rupees ,non-bailable
IPC_293,it pertains to the offense of selling distributing or circulating obscene objects to any person under the age of twenty years including prints engravings figures or any other object tending to corrupt morals ,imprisonment of either description for a term which may extend to three years or with fine or with both ,non-bailable
IPC_294,it deals with the offense of committing obscene acts or using obscene words songs or gestures in public places to the annoyance of others ,imprisonment of either description for a term which may extend to three months or with fine or with both ,bailable
IPC_295,it addresses the offense of intentionally desecrating or damaging a place of worship which is likely to insult the religious feelings of any person ,imprisonment of either description for a term which may extend to two years or with fine or with both ,non-bailable
IPC_296,it pertains to the offense of disturbing a religious assembly ceremony or worship by making noise rioting or otherwise causing a disturbance thereby intentionally preventing or disturbing the performance of any religious ceremony ,imprisonment of either description for a term which may extend to one year or with fine or with both ,bailable
IPC_297,it addresses the offense of trespassing upon burial places whether the place of interment is within a building or not with the intention of offering any indignity to human remains or performing any act likely to outrage the feelings of those who have relatives or friends buried there ,imprisonment of either description for a term which may extend to one year or with fine or with both ,bailable
IPC_298,it deals with the offense of uttering words or making gestures with the deliberate intention of wounding the religious feelings of any person this section aims to prevent hate speech and religiously motivated insults ,imprisonment of either description for a term which may extend to one year or with fine or with both ,bailable
IPC_299,it defines culpable homicide as the act of causing death with the intention of causing death or with the intention of causing such bodily injury as is likely to cause death or with the knowledge that the act is likely to cause death this section covers various degrees of unlawful killings including murder and manslaughter ,imprisonment for life or imprisonment of either description of a term extending up to 10 years fine ,non-bailable
IPC_300,it defines murder as culpable homicide not amounting to murder if the act is committed with the intention of causing death or with the intention of causing such bodily injury as the offender knows to be likely to cause death but without any excuse for such an act except in cases where it is committed in the exercise of the right of private defense or in a sudden quarrel in the heat of passion upon a sudden provocation and without the offender having taken undue advantage or acted in a cruel or unusual manner ,punished with death or imprisonment for life and shall also be liable to fine ,non-bailable
IPC_301,it addresses the concept of culpable homicide by causing death in circumstances where it is considered excusable or justifiable it states that culpable homicide is not murder if it is committed by accident or misfortune without any criminal intention in the doing of a lawful act by lawful means with proper care and caution ,10 years in prison and a fine or both ,non-bailable
IPC_302,it deals with the offense of murder punishable by either death penalty or imprisonment for life along with a fine ,death or imprisonment for life fine ,non-bailable
IPC_303,it deals with the offense of abetment to suicide punishable with either death penalty or imprisonment for life along with a fine ,death penalty or imprisonment for life along with a fine ,non-bailable
IPC_304,it deals with the offense of causing death by negligence punishable with imprisonment for a term which may extend to two years or with fine or with both ,imprisonment for up to two years or fine or both ,non-bailable
IPC_304A,it deals with the offense of causing death by rash or negligent act punishable with imprisonment for a term which may extend to two years or with fine or with both ,imprisonment for up to two years or fine or both ,bailable
IPC_304B,it deals with death of a woman caused by any burns or bodily injury or which does not occur under normal circumstances within seven years of her marriage and soon before her death she was subjected to cruelty or harassment by her husband or any relative of her husband for dowry ,imprisonment for a term which shall not be less than seven years but which may extend to imprisonment for life ,non-bailable
IPC_305,it deals with abetment of suicide of a minor or a person of unsound mind punishable with imprisonment for life or imprisonment for a term which may extend to ten years and shall also be liable to fine ,imprisonment for life or imprisonment for up to ten years along with a fine ,non-bailable
IPC_306,it deals with the offense of abetment of suicide punishable with imprisonment for a term which may extend to ten years and fine ,imprisonment for up to ten years along with a fine ,non-bailable
IPC_307,it deals with the offense of attempt to murder punishable with imprisonment which may extend to ten years and shall also be liable to fine ,imprisonment for up to ten years along with a fine ,non-bailable
IPC_308,it deals with the offense of attempt to commit culpable homicide punishable with imprisonment which may extend to three years or with fine or with both ,imprisonment for up to three years or fine or both ,non-bailable
IPC_309,it deals with the offense of attempted suicide where the person attempting suicide is exempted from punishment ,no punishment ,bailable
IPC_310,it deals with anyone anyone who is regularly associated with others to commit robbery or along with murder is considered a thug ,imprisonment for life and fine ,non-bailable
IPC_311,it deals with anyone who is a thug ,imprisonment for life and fine ,non-bailable
IPC_312,it deals with the offense of causing miscarriage which refers to the premature expulsion of the fetus from the womb whether by intention or by negligence this section aims to prevent the unauthorized termination of pregnancies without proper medical supervision ,imprisonment for up to three years or fine or both ,bailable
IPC_313,it deals with the offense of causing miscarriage without the consent of the woman it prohibits actions that result in the termination of a woman pregnancy without her explicit consent protecting her reproductive rights and bodily autonomy ,imprisonment for up to ten years and a fine ,non-bailable
IPC_314,it addresses situations where death results from an act done with the intent to cause miscarriage it prohibits actions aimed at terminating a woman pregnancy that lead to her death ,imprisonment for life or up to ten years along with a fine ,non-bailable
IPC_315,it addresses acts done with the intent to prevent a child from being born alive or to cause it to die after birth it encompasses actions aimed at obstructing the birth of a living child or causing its death shortly after birth ,imprisonment for up to ten years along with a fine ,non-bailable
IPC_316,it pertains to actions that cause the death of an unborn child who is capable of moving within the womb due to acts of culpable homicide committed against the mother ,imprisonment for up to ten years along with a fine ,non-bailable
IPC_317,the act of exposing and abandoning a child under twelve years of age by a parent or a person having care of the child it addresses situations where a child is left in a vulnerable state without adequate care or supervision ,imprisonment for up to seven years along with a fine ,bailable
IPC_318,it addresses the concealment of birth by secretly disposing of the dead body of a newborn child it pertains to situations where individuals attempt to hide the fact of childbirth by unlawfully disposing of the infant body ,imprisonment for up to two years or with a fine or both ,bailable
IPC_319,it deals with causing hurt to another person it encompasses acts that result in physical pain or injury to another individual which may not necessarily amount to grievous hurt ,may include imprisonment fine or both depending on the severity of the hurt caused ,bailable
IPC_320,it pertains to causing grievous hurt to another person it involves acts that result in severe physical injury or harm to an individual causing lasting or significant damage to their health or ,may include imprisonment fine or both depending on the severity of the hurt caused ,bailable
IPC_321,it addresses the act of voluntarily causing hurt to another person it encompasses situations where an individual intentionally inflicts physical pain or injury on another individual without any lawful justification or excuse ,may include imprisonment fine or both depending on the severity of the hurt caused ,bailable
IPC_322,the act of voluntarily causing grievous hurt to another person it encompasses situations where an individual intentionally inflicts severe physical injury or harm on another individual resulting in significant damage to their health or ,may include imprisonment fine or both depending on the severity of the hurt caused ,bailable
IPC_323,it addresses the punishment for voluntarily causing hurt to another person it pertains to situations where an individual intentionally inflicts physical pain or injury on another individual without any lawful justification or excuse ,imprisonment for a term which may extend to one year or with fine which may extend to one thousand rupees or both ,bailable
IPC_324,it deals with voluntarily causing hurt by the use of dangerous weapons or means it applies to situations where an individual intentionally inflicts physical pain or injury on another person using weapons or methods that are likely to cause severe harm ,imprisonment for a term which may extend to three years or with fine or with both ,bailable
IPC_325,it addresses the punishment for voluntarily causing grievous hurt to another person it applies to situations where an individual intentionally inflicts severe physical injury or harm on another individual resulting in significant damage to their health or ,imprisonment for a term which may extend to seven years and shall also be liable to fine ,bailable
IPC_326,it deals with voluntarily causing grievous hurt by the use of dangerous weapons or means it applies to situations where an individual intentionally inflicts severe physical injury or harm on another person using weapons or methods that are likely to cause significant damage ,imprisonment for a term which may extend to ten years and shall also be liable to fine ,non-bailable
IPC_326A,it deals with voluntarily causing grievous hurt by using acid or any other corrosive substance it specifically targets incidents where individuals intentionally use acid or similar substances to inflict severe physical injuries or harm on another person ,imprisonment for a term which shall not be less than ten years but which may extend to imprisonment for life and with fine ,non-bailable
IPC_326B,it deals with attempting to throw or administer acid to another person it specifically targets situations where individuals make an attempt to perpetrate an acid attack regardless of whether the attempt is successful or not ,imprisonment for a term which shall not be less than five years but which may extend to seven years and with fine ,non-bailable
IPC_327,it deals with voluntarily causing hurt with the intent to extort property or to compel someone to commit an illegal act it applies to situations where an individual intentionally inflicts physical pain or injury on another person in order to obtain property or force them to engage in unlawful activities ,imprisonment for a term which may extend to ten years and shall also be liable to fine ,non-bailable
IPC_328,it deals with causing hurt by means of poison or other harmful substances with the intent to commit an offense ,imprisonment for a term which may extend to ten years and shall also be liable to fine ,non-bailable
IPC_329,it deals with voluntarily causing grievous hurt with the intent to extort property or to compel someone to commit an illegal act ,imprisonment for a term which may extend to ten years and shall also be liable to fine ,non-bailable
IPC_330,it pertains to situations where an individual voluntarily causes hurt to another person with the intent to extort a confession or compel the restoration of property ,imprisonment for a term which may extend to seven years and shall also be liable to fine ,bailable
IPC_331,it addresses instances where an individual voluntarily inflicts severe physical injury or harm on another person with the intent to extort a confession or compel the restoration of property ,imprisonment for a term which may extend to ten years and shall also be liable to fine ,non-bailable
IPC_332,it addresses situations where an individual voluntarily inflicts physical pain or injury on a public servant to deter them from performing their official duties ,imprisonment for a term which may extend to three years or with fine or with both ,non-bailable
IPC_333,it addresses situations where an individual voluntarily inflicts severe physical injury or harm on a public servant to deter them from performing their official duties ,imprisonment for a term which may extend to seven years and shall also be liable to fine ,non-bailable
IPC_334,it deals with situations where an individual voluntarily inflicts physical pain or injury on another person while attempting to commit theft of movable property ,imprisonment for a term which may extend to three years or with fine or with both ,bailable
IPC_335,it pertains to situations where an individual voluntarily inflicts severe physical injury or harm on another person while attempting to commit theft of movable property ,imprisonment for a term which may extend to seven years and shall also be liable to fine ,bailable
IPC_336,it pertains to situations where an individual actions or negligence puts the life or personal safety of others at risk it covers a wide range of scenarios where the conduct of a person leads to potential harm or danger to the lives or safety of others ,imprisonment for a term which may extend to three months or with fine which may extend to two hundred and fifty rupees or with both ,bailable
IPC_337,it pertains to situations where an individual actions although not intended to cause hurt result in harm to others by endangering their lives or personal safety it covers instances where negligent or reckless behavior leads to physical injuries to others ,imprisonment for a term which may extend to six months or with fine which may extend to five hundred rupees or with both ,bailable
IPC_338,this section deals with situations where an individual actions although not intended to cause grievous hurt result in severe injuries to others by endangering their lives or personal safety ,imprisonment for a term which may extend to two years or with fine which may extend to one thousand rupees or with both ,bailable
IPC_339,it this section pertains to situations where an individual unlawfully restricts the movement of another person without their consent ,imprisonment for a term which may extend to one month or with fine which may extend to fifty rupees or with both ,bailable
IPC_340,it deals with situations where an individual unlawfully detains another person against their will ,imprisonment for a term which may extend to one year or with fine which may extend to one thousand rupees or with both ,bailable
IPC_341,this section addresses situations where an individual wrongfully restrains another person thereby obstructing their freedom of movement ,imprisonment for a term which may extend to one month or with fine which may extend to five hundred rupees or with both ,bailable
IPC_342,this section pertains to situations where an individual wrongfully confines another person against their will ,imprisonment for a term which may extend to one year or with fine which may extend to one thousand rupees or with both ,bailable
IPC_343,this section addresses situations where an individual wrongfully detains another person for a continuous period of three days or more ,imprisonment for a term which may extend to two years or with fine or with both ,bailable
IPC_344,it pertains to situations where an individual wrongfully detains another person for a continuous period of ten days or more ,imprisonment for a term which may extend to three years or with fine or with both ,bailable
IPC_345,it pertains to situations where an individual wrongfully detains another person for a continuous period of ten days or more with the intent to compel them to perform labor against their will ,imprisonment for a term which may extend to three years or with fine or with both ,bailable
IPC_346,this section addresses situations where an individual wrongfully confines another person in a concealed or hidden place ,imprisonment for a term which may extend to one year or with fine which may extend to one thousand rupees or with both ,bailable
IPC_347,this section pertains to situations where an individual wrongfully detains another person with the intent to extort property from them or to compel them to engage in illegal activities ,imprisonment for a term which may extend to three years or with fine or with both ,bailable
IPC_348,this section addresses situations where an individual wrongfully detains another person with the intent to extort a confession from them or to compel them to restore property unlawfully taken ,imprisonment for a term which may extend to three years or with fine or with both ,bailable
IPC_349,this section pertains to situations where an individual wrongfully restrains another person with the intent to commit extortion ,imprisonment for a term which may extend to seven years and shall also be liable to fine ,bailable
IPC_350,this section addresses situations where an individual uses criminal force or violence to commit extortion through coercion or intimidation ,imprisonment for a term which may extend to seven years and shall also be liable to fine ,bailable
IPC_351,it addresses situations where an individual commits assault with the intention of dishonoring or disgracing another person ,imprisonment for a term which may extend to two years or with fine or with both ,bailable
IPC_352,it pertains to situations where an individual commits assault or uses criminal force against another person without grave provocation ,imprisonment for a term which may extend to three months or with fine which may extend to five hundred rupees or with both ,bailable
IPC_353,it pertains to situations where an individual commits assault or uses criminal force to deter a public servant from carrying out their official duties ,imprisonment for a term which may extend to two years or with fine or with both ,non-bailable
IPC_354,it addresses situations where an individual commits assault or uses criminal force against a woman with the intention of outraging her modesty ,imprisonment for a term which may extend to two years or with fine or with both ,non-bailable
IPC_354A,it addresses situations where an individual engages in any of the following acts including physical contact and advances involving unwelcome and explicit sexual overtures making sexually colored remarks showing pornography or any other unwelcome physical verbal or conduct of a sexual nature ,imprisonment for a term which may extend to three years or with fine or with both for the first offense and imprisonment for a term which may extend to five years or with fine or with both for the subsequent offense s ,bailable
IPC_354B,it addresses situations where an individual assaults or uses criminal force against a woman with the intent to disrobe her ,imprisonment for a term which may extend to three years and shall also be liable to fine ,non-bailable
IPC_354C,it addresses situations where a person watches or captures the image of a woman engaging in a private act without her consent for the purpose of gratifying the voyeur sexual desire or for the purpose of invading her privacy ,imprisonment for a term which may extend to three years and shall also be liable to fine ,Bailable/Non-Bailable
IPC_354D,it addresses situations where a person follows contacts or monitors another person repeatedly despite a clear indication of disinterest or unwillingness by that person ,imprisonment for a term which may extend to three years for the first offense and shall also be liable to fine ,Bailable/Non-Bailable
IPC_355,it pertains to situations where an individual commits assault or uses criminal force with the intention of dishonoring another person without grave provocation ,imprisonment for a term which may extend to two years or with fine or with both ,non-bailable
IPC_356,it addresses situations where an individual commits assault or uses criminal force in an attempt to steal property carried by another person ,imprisonment for a term which may extend to three years or with fine or with both ,non-bailable
IPC_357,it addresses situations where an individual commits assault or uses criminal force in an attempt to wrongfully confine another person ,imprisonment for a term which may extend to one year or with fine or with both ,non-bailable
IPC_358,it pertains to situations where an individual commits assault or uses criminal force in response to grave provocation ,imprisonment for a term which may extend to one month or with fine which may extend to two hundred rupees or with both ,non-bailable
IPC_359,it addresses situations where an individual commits assault or uses criminal force with the intent to assault a woman with the further intention of outraging her modesty ,imprisonment for a term which may extend to three years and shall also be liable to fine ,non-bailable
IPC_360,it covers instances where someone unlawfully takes away or detains another person against their will with the intention of removing them from the territory of india ,imprisonment for life or rigorous imprisonment which may extend to ten years and shall also be liable to fine ,non-bailable
IPC_361,this section addresses situations where a person takes or entices away a minor under the age of sixteen years or any person of unsound mind out of the keeping of the lawful guardian of such minor or person of unsound mind without the consent of such guardian ,imprisonment for a term which may extend to seven years and shall also be liable to fine ,non-bailable
IPC_362,it addresses situations where a person by force compels or by any deceitful means induces any person to go from any place ,imprisonment for a term which may extend to seven years and shall also be liable to fine ,non-bailable
IPC_363,it covers instances where someone unlawfully takes or entices away another person who is under the age of eighteen years or of unsound mind without the consent of their lawful guardian ,imprisonment for a term which may extend to seven years and shall also be liable to fine ,non-bailable
IPC_363A,it addresses situations where a person kidnaps or maims a minor with the intention of subjecting them to forced begging ,imprisonment for a term which may extend to ten years and shall also be liable to fine ,non-bailable
IPC_364,it addresses situations where a person kidnaps or abducts another person with the intention of murdering them ,imprisonment for life and shall also be liable to fine ,non-bailable
IPC_364A,it addresses situations where a person kidnaps another person with the intention of holding them for ransom or compelling any other person to pay money or any other valuable security for the return of the abducted person ,either death or imprisonment for life and shall also be liable to fine ,non-bailable
IPC_365,it addresses situations where a person kidnaps or abducts another person with the intention of secretly and wrongfully confining them ,imprisonment for a term which may extend to seven years and shall also be liable to fine ,non-bailable
IPC_366,it addresses situations where a person kidnaps abducts or induces a woman to compel her into marriage against her will ,imprisonment for a term which may extend to ten years and shall also be liable to fine ,non-bailable
IPC_366A,it addresses situations where any person procures or induces a minor girl to go from any place or to do any act with the intent that she may be or knowing that it is likely that she will be forced or seduced to illicit intercourse with another person ,imprisonment for a term which may extend to ten years and shall also be liable to fine ,non-bailable
IPC_366B,it addresses situations where any person imports into india from any country outside india or from the state of jammu and kashmir any girl under the age of years with the intent that she may be or knowing it to be likely that she will be forced or seduced to illicit intercourse with another person ,imprisonment which may extend to ten years and shall also be liable to fine ,non-bailable
IPC_367,this section addresses situations where a person kidnaps or abducts another person with the intention of subjecting them to grievous hurt slavery or any other grave and inhumane treatment ,imprisonment for life or rigorous imprisonment for a term which may extend to ten years and shall also be liable to fine ,non-bailable
IPC_368,it addresses situations where a person wrongfully restrains or confines another person ,imprisonment for a term which may extend to one year or with fine or with both ,non-bailable
IPC_369,this section addresses situations where a person kidnaps or abducts a child under the age of ten with the intent to steal from their person ,imprisonment for a term which may extend to seven years and shall also be liable to fine ,non-bailable
IPC_370,it addresses situations where a person recruits transports harbors transfers or receives another person by means of threat use of force coercion abduction fraud deception or abuse of power or vulnerability for the purpose of exploitation ,imprisonment which may extend to ten years and shall also be liable to fine ,non-bailable
IPC_370A,it addresses situations where a person knowingly or wilfully exploits another person who has been trafficked ,imprisonment for a term which may extend to five years and shall also be liable to fine ,non-bailable
IPC_371,it addresses situations where a person habitually engages in the trade or business of buying selling hiring or otherwise dealing in slaves ,imprisonment for a term which may extend to ten years and shall also be liable to fine ,non-bailable
IPC_372,it addresses situations where a person sells lets for hire or otherwise disposes of a minor for the purpose of prostitution illicit intercourse or any other unlawful or immoral purpose ,imprisonment which may extend to ten years and shall also be liable to fine ,non-bailable
IPC_373,it addresses situations where a person buys hires or otherwise obtains possession of a minor with the intent that such minor shall be employed or used for the purpose of prostitution or illicit intercourse ,imprisonment which may extend to ten years and shall also be liable to fine ,non-bailable
IPC_374,it addresses situations where a person compels any person to labor against the will of that person ,imprisonment for a term which may extend to one year or with fine or with both ,bailable
IPC_375,it addresses situations where a man commits sexual intercourse with a woman under certain circumstances without her consent or against her will ,imprisonment for a term which may extend to life or for a term which may extend to ten years and shall also be liable to fine ,non-bailable
IPC_376,it covers instances where a person is found guilty of committing rape as defined under section 375 of the indian penal code ,imprisonment for a term which shall not be less than seven years but which may extend to life and shall also be liable to fine based on the circumstances of the offense including the age of the victim the relationship between the perpetrator and the victim and any aggravating factors ,non-bailable
IPC_376AB,it deals with punishment for rape on woman under twelve years of age ,imprisonment for twenty years or for life and fine ,non-bailable
IPC_377,it covers instances where sexual acts other than penetration are deemed unlawful under the law including acts of sodomy or bestiality ,imprisonment for a term which may extend to life or with imprisonment which may extend to ten years and shall also be liable to fine ,non-bailable
IPC_378,it addresses situations where a person dishonestly takes property out of the possession of another without the consent of that person and with the intent to permanently deprive them of it ,imprisonment for a term which may extend to three years or with fine or with both ,non-bailable
IPC_379,it covers instances where someone unlawfully appropriates the movable property of another with the intention of keeping it for themselves ,imprisonment for a term which may extend to three years or with fine or with both ,non-bailable
IPC_380,it covers instances where someone unlawfully enters or remains in a place and dishonestly takes property from it without the owner consent ,imprisonment for a term which may extend to seven years and shall also be liable to fine ,non-bailable
IPC_381,it addresses situations where a clerk or servant being in any manner entrusted with the possession of property dishonestly misappropriates or converts that property for their own benefit without the consent of the master ,imprisonment for a term which may extend to seven years and shall also be liable to fine ,non-bailable
IPC_382,it addresses situations where a person makes preparations for causing death hurt or restraint in order to commit theft ,imprisonment for a term which may extend to ten years and shall also be liable to fine ,non-bailable
IPC_383,it addresses situations where a person intentionally puts another person in fear of injury to that person or any other and thereby dishonestly induces the person so put in fear to deliver to any person any property or anything signed or sealed which may be converted into a valuable security ,imprisonment for a term which may extend to three years or with fine or with both ,non-bailable
IPC_384,it addresses situations where a person puts another person in fear of death or grievous hurt to extort property or valuable security from them ,imprisonment for a term which may extend to ten years and shall also be liable to fine ,non-bailable
IPC_385,it addresses situations where a person intentionally puts another person in fear of injury in order to extort property or valuable security from them ,imprisonment for a term which may extend to seven years and shall also be liable to fine ,bailable
IPC_386,it addresses situations where a person puts another person in fear of being accused of an offense punishable with death or imprisonment for life in order to extort property or valuable security from them ,imprisonment for a term which may extend to ten years and shall also be liable to fine ,non-bailable
IPC_387,it addresses situations where a person intentionally puts another person in fear of death or grievous hurt to extort property or valuable security from them ,imprisonment for a term which may extend to ten years and shall also be liable to fine ,non-bailable
IPC_388,it addresses situations where a person threatens to accuse another person of an offense punishable with imprisonment for life or imprisonment in order to extort property or valuable security from them ,imprisonment for a term which may extend to three years and shall also be liable to fine ,bailable
IPC_389,it addresses situations where a person intentionally puts another person in fear of being accused of an offense in order to extort property or valuable security from them ,imprisonment for a term which may extend to two years or with fine or with both ,bailable
IPC_390,it addresses situations where a person commits robbery which involves using force or fear of injury to commit theft ,imprisonment for a term which may extend to ten years and shall also be liable to fine ,Bailable/Non-Bailable
IPC_391,it addresses situations where five or more persons conjointly commit or attempt to commit robbery ,imprisonment for a term which may extend to ten years and shall also be liable to fine ,Bailable/Non-Bailable
IPC_392,it addresses situations where a person commits robbery and voluntarily causes hurt to any person in order to commit the robbery ,imprisonment for a term which may extend to ten years and shall also be liable to fine ,non-bailable
IPC_393,it addresses situations where a person attempts to commit robbery or dacoity and does any act towards the commission of such offense which causes death or grievous hurt ,imprisonment for life or rigorous imprisonment for a term which may extend to ten years and shall also be liable to fine ,Bailable/Non-Bailable
IPC_394,it addresses situations where a person voluntarily causes hurt to any person in committing robbery or dacoity ,imprisonment for a term which may extend to ten years and shall also be liable to fine ,Bailable/Non-Bailable
IPC_395,it addresses situations where five or more persons conjointly commit or attempt to commit dacoity and any one of them attempts to cause death or grievous hurt to any person ,imprisonment for life or rigorous imprisonment for a term which may extend to ten years and shall also be liable to fine ,non-bailable
IPC_396,it addresses situations where a dacoity is committed and in the course of such dacoity any person is murdered ,death or imprisonment for life along with fine ,Bailable/Non-Bailable
IPC_397,it addresses situations where any one of five or more persons who conjointly commit robbery or dacoity attempts to cause death or grievous hurt to any person ,imprisonment for life or rigorous imprisonment for a term which may extend to ten years and shall also be liable to fine ,Bailable/Non-Bailable
IPC_398,it addresses situations where any person attempts to commit robbery or dacoity while armed with a deadly weapon ,imprisonment for life or rigorous imprisonment for a term which may extend to ten years and shall also be liable to fine ,Bailable/Non-Bailable
IPC_399,it addresses situations where any person makes preparation to commit dacoity ,imprisonment for a term which may extend to ten years and shall also be liable to fine ,Bailable/Non-Bailable
IPC_400,it addresses situations where a person is found to belong to a gang of persons who are dacoits ,imprisonment for life or rigorous imprisonment for a term which may extend to ten years and shall also be liable to fine ,Bailable/Non-Bailable
IPC_401,it deals with a person belonging to gang of thieves ,imprisoned for up to seven years ,Bailable/Non-Bailable
IPC_402,it deals with the offense of assembling for the purpose of committing dacoity ,punishment of up to seven years imprisonment ,Non-Bailable
IPC_403,it deals with the offense of dishonest misappropriation of property that has been lost misplaced or delivered by mistake ,punishment of up to two years imprisonment fine or both ,Bailable
IPC_404,it deals with the offense of dishonest misappropriation of property that has been lost misplaced or delivered by mistake ,punishment of up to two years imprisonment fine or both ,Bailable
IPC_405,it defines the offense of criminal breach of trust ,punishment of up to three years imprisonment fine or both ,Bailable/Non-Bailable
IPC_406,it specifies the punishment for criminal breach of trust ,imprisonment of up to three years fine or both ,non-bailable
IPC_407,this section deals with the offense of criminal breach of trust by carriers wharfingers or ,punishment of up to seven years imprisonment fine or both ,non-bailable
IPC_408,it addresses the offense of criminal breach of trust committed by a clerk or servant ,punishment of up to seven years imprisonment fine or both ,non-bailable
IPC_409,this section deals with the offense of criminal breach of trust by public servants bankers merchants or agents ,punishment of up to ten years imprisonment fine or both ,non-bailable
IPC_410,this section defines stolen property as any movable property of which possession has been acquired by theft extortion robbery or dacoity ,no specific punishment ,non-bailable
IPC_411,this section deals with the offense of dishonestly receiving stolen property knowing or having reason to believe it to be stolen ,imprisonment of either description for a term which may extend to three years or with fine or with both ,non-bailable
IPC_412,this section addresses the offense of dishonestly receiving property stolen in the commission of a dacoity ,imprisonment of either description for a term which may extend to three years or with fine or with both ,non-bailable
